latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.2037,-4.3729,308.8,1.1,1.1,2010-01-09,1324,Aqua,MODIS,68,6.03,288.4,9.6,D,0
32.2056,-4.3611,305,1.1,1.1,2010-01-09,1324,Aqua,MODIS,60,6.03,290.3,6.9,D,0
32.4321,-8.4256,308.7,1.1,1,2010-03-14,0223,Aqua,MODIS,75,6.03,279.8,14.7,N,0
35.0263,-5.9445,309.8,1,1,2010-04-03,1120,Terra,MODIS,58,6.03,296.9,5.7,D,0
32.9345,-8.4878,324.4,1.9,1.4,2010-04-06,1151,Terra,MODIS,79,6.03,296.9,42.5,D,0
32.9386,-8.5075,311.7,1.9,1.4,2010-04-06,1151,Terra,MODIS,60,6.03,297.3,12.1,D,0
32.9302,-8.4947,326.5,1.9,1.4,2010-04-06,1151,Terra,MODIS,81,6.03,297.7,48.4,D,0
34.9531,-6.2108,318.6,1.1,1,2010-04-10,1126,Terra,MODIS,67,6.03,300.2,9.4,D,0
35.0895,-6.0315,336.7,1.1,1.1,2010-04-27,1348,Aqua,MODIS,86,6.03,315.5,25.9,D,0
35.0953,-6.027,327.6,1.1,1.1,2010-04-27,1348,Aqua,MODIS,77,6.03,310.3,13.6,D,0
33.8482,-5.0243,322.3,1,1,2010-04-28,1114,Terra,MODIS,68,6.03,302.3,9.8,D,0
34.7773,-6.0742,319.4,1.3,1.1,2010-05-01,1324,Aqua,MODIS,68,6.03,302.2,10.4,D,0
30.1033,-9.2478,325.1,1,1,2010-05-04,1353,Aqua,MODIS,44,6.03,312.2,6.8,D,0
33.8301,-5.5215,315,1.1,1,2010-05-05,1120,Terra,MODIS,56,6.03,299.9,6.6,D,0
34.3358,-6.4477,318.3,1,1,2010-05-05,1120,Terra,MODIS,49,6.03,303.8,6.5,D,0
34.6078,-5.9923,315.4,1,1,2010-05-05,1120,Terra,MODIS,38,6.03,300.7,5.8,D,0
33.7522,-4.4624,313,1,1,2010-05-15,1335,Aqua,MODIS,52,6.03,300.8,6.1,D,0
34.9832,-5.9242,323.7,2,1.4,2010-05-17,1145,Terra,MODIS,74,6.03,305.3,32.1,D,0
34.9711,-5.9279,323,2,1.4,2010-05-17,1145,Terra,MODIS,73,6.03,304.3,29.2,D,0
33.8475,-6.3224,328.9,1.3,1.1,2010-05-20,1354,Aqua,MODIS,59,6.03,314.4,9.3,D,0
33.8473,-6.3156,332.3,1.3,1.1,2010-05-20,1354,Aqua,MODIS,75,6.03,314.5,16.2,D,0
34.4475,-6.1599,338,1,1,2010-05-21,1120,Terra,MODIS,85,6.03,308,27.3,D,0
34.4492,-6.1707,341.1,1,1,2010-05-21,1120,Terra,MODIS,88,6.03,308.2,32.1,D,0
35.0951,-5.9688,319.1,1.6,1.2,2010-05-26,1138,Terra,MODIS,66,6.03,301.5,17.8,D,0
32.4317,-8.4669,302.5,1.3,1.1,2010-05-28,2228,Terra,MODIS,49,6.03,287.7,9.4,N,0
31.5106,-9.6693,318,3.5,1.8,2010-05-29,1210,Terra,MODIS,56,6.03,300.4,43.9,D,0
31.5023,-9.6344,324.4,3.5,1.8,2010-05-29,1210,Terra,MODIS,77,6.03,302,81.5,D,0
31.5089,-9.6396,328.5,3.5,1.8,2010-05-29,1210,Terra,MODIS,81,6.03,302.5,114.5,D,0
34.5617,-6.133,324.2,1,1,2010-05-30,1114,Terra,MODIS,58,6.03,309.1,7.8,D,0
34.5602,-6.1221,325.6,1,1,2010-05-30,1114,Terra,MODIS,55,6.03,309.6,8.9,D,0
29.7057,-9.4504,326.9,1.1,1.1,2010-05-30,1116,Terra,MODIS,42,6.03,311.4,7.4,D,0
35.0487,-5.9032,333.7,1,1,2010-05-31,1336,Aqua,MODIS,78,6.03,316.5,15.8,D,0
33.3585,-7.7128,332.7,1.5,1.2,2010-06-01,1102,Terra,MODIS,69,6.03,314.7,24.2,D,0
35.0899,-5.9805,331.4,1.2,1.1,2010-06-02,1324,Aqua,MODIS,78,6.03,309.6,22.7,D,0
35.1239,-6.132,324.4,1.3,1.1,2010-06-04,1132,Terra,MODIS,65,6.03,309.5,13.7,D,0
34.1962,-6.6663,324.8,1.2,1.1,2010-06-04,1133,Terra,MODIS,52,6.03,308.5,11.1,D,0
34.6096,-6.1708,321.8,1.9,1.4,2010-06-04,1311,Aqua,MODIS,38,6.03,306.6,19,D,0
30.8649,-6.8944,337.3,1,1,2010-06-07,1341,Aqua,MODIS,75,6.03,324.9,8.5,D,0
33.5057,-7.5095,326.9,1,1,2010-06-07,1341,Aqua,MODIS,50,6.03,311.4,7,D,0
34.8347,-6.0771,319.1,1.5,1.2,2010-06-11,1317,Aqua,MODIS,69,6.03,304.4,13.5,D,0
