latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
34.596165,-2.345161,297.75,0.45,0.47,2019-01-01,0130,N,VIIRS,n,1,275.03,0.97,N,0
35.781368,-5.742563,299.74,0.53,0.67,2019-01-01,0306,N,VIIRS,n,1,278.56,0.84,N,0
30.545828,-9.148797,299.35,0.47,0.64,2019-01-01,0306,N,VIIRS,n,1,276.17,0.61,N,0
35.782837,-5.7476,295.42,0.53,0.67,2019-01-01,0306,N,VIIRS,n,1,277.59,0.84,N,0
35.782055,-5.74211,299.26,0.53,0.67,2019-01-01,0306,N,VIIRS,n,1,278.67,1.38,N,0
33.440403,-5.350497,340.33,0.53,0.5,2019-01-01,1248,N,VIIRS,n,1,291.32,3.79,D,0
34.595249,-2.34691,297.92,0.42,0.61,2019-01-02,0106,N,VIIRS,n,1,275.2,0.55,N,2
32.371273,-8.428022,304.98,0.5,0.49,2019-01-02,0248,N,VIIRS,n,1,278.44,1.58,N,0
34.593887,-2.345739,296.02,0.48,0.65,2019-01-02,0248,N,VIIRS,n,1,273.52,0.63,N,0
30.190891,-9.332874,296.62,0.5,0.49,2019-01-02,0248,N,VIIRS,n,1,278.2,0.66,N,0
34.777351,-4.103564,326.82,0.39,0.59,2019-01-02,1230,N,VIIRS,n,1,291.55,1.76,D,0
33.365402,-7.750984,295.78,0.46,0.39,2019-01-03,0230,N,VIIRS,n,1,279.94,0.9,N,0
31.448767,-8.993419,343.41,0.44,0.38,2019-01-03,1348,N,VIIRS,n,1,295.84,10.59,D,0
32.346336,-5.742393,330.85,0.43,0.46,2019-01-03,1348,N,VIIRS,n,1,290.57,3.93,D,0
31.445242,-8.992821,344.03,0.44,0.38,2019-01-03,1348,N,VIIRS,n,1,296.65,10.59,D,0
34.99707,-5.967783,296.16,0.38,0.36,2019-01-04,0212,N,VIIRS,n,1,277.96,0.5,N,0
33.891617,-6.950991,295.13,0.39,0.36,2019-01-04,0212,N,VIIRS,n,1,280.51,0.57,N,0
30.219107,-9.152735,296.25,0.4,0.37,2019-01-04,0212,N,VIIRS,n,1,281.83,0.6,N,2
33.547565,-7.521593,299.42,0.39,0.36,2019-01-04,0212,N,VIIRS,n,1,277.51,0.57,N,0
33.135235,-8.604971,297.52,0.4,0.37,2019-01-04,0212,N,VIIRS,n,1,281.53,0.76,N,0
34.596153,-2.346374,301.73,0.39,0.36,2019-01-05,0154,N,VIIRS,n,1,275.29,1.23,N,2
33.676456,-5.587142,328.75,0.42,0.37,2019-01-05,1312,N,VIIRS,n,1,297.91,1.51,D,0
35.037373,-5.691878,328.56,0.41,0.37,2019-01-05,1312,N,VIIRS,n,1,290.99,2.55,D,0
35.037506,-5.688539,342.54,0.41,0.37,2019-01-05,1312,N,VIIRS,n,1,292.43,4.41,D,0
34.930683,-6.229778,326.79,0.42,0.38,2019-01-05,1312,N,VIIRS,n,1,294.29,1.38,D,0
35.038128,-5.687461,326.85,0.41,0.37,2019-01-05,1312,N,VIIRS,n,1,291.7,2.55,D,0
35.420406,-5.753989,322.04,0.58,0.52,2019-01-06,0136,N,VIIRS,n,1,279.74,3.35,N,0
34.084705,-6.753384,305.26,0.32,0.54,2019-01-06,0136,N,VIIRS,n,1,277.38,0.68,N,0
33.988308,-5.604037,331.1,0.44,0.46,2019-01-06,1254,N,VIIRS,n,1,292.45,2.04,D,0
33.153114,-7.367849,338.05,0.57,0.52,2019-01-06,1254,N,VIIRS,n,1,298.85,4.94,D,0
33.152847,-7.367472,338.78,0.57,0.52,2019-01-06,1254,N,VIIRS,n,1,298.75,4.75,D,0
34.994755,-2.445029,331.96,0.45,0.39,2019-01-06,1254,N,VIIRS,n,1,292.47,2.69,D,0
