latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
34.595562,-2.34813,295.87,0.56,0.51,2021-01-01,0118,N,VIIRS,n,1,275.23,1.16,N,2
34.595844,-2.347695,295.98,0.56,0.51,2021-01-01,0118,N,VIIRS,n,1,275.28,1.12,N,2
32.533466,-8.836987,303.4,0.35,0.57,2021-01-01,0300,N,VIIRS,n,1,274.68,0.49,N,0
27.106997,-13.180211,335.88,0.39,0.44,2021-01-01,1418,N,VIIRS,n,1,296.6,2.6,D,0
34.595806,-2.345079,302.08,0.43,0.46,2021-01-03,0224,N,VIIRS,n,1,274.11,1.21,N,0
33.635548,-7.436656,301.12,0.41,0.37,2021-01-03,0224,N,VIIRS,n,1,280.81,0.96,N,0
33.464317,-7.543829,320.88,0.41,0.37,2021-01-03,0224,N,VIIRS,n,1,277.5,2.23,N,0
33.366928,-7.750543,304.33,0.4,0.37,2021-01-03,0224,N,VIIRS,n,1,279.96,1.17,N,2
33.054523,-7.533696,301.21,0.41,0.37,2021-01-03,0224,N,VIIRS,n,1,277.11,0.81,N,2
34.596085,-2.344589,299.01,0.41,0.37,2021-01-04,0206,N,VIIRS,n,1,271.72,1.21,N,0
33.054379,-7.533822,297.01,0.42,0.38,2021-01-04,0206,N,VIIRS,n,1,275.21,0.76,N,2
33.804291,-5.912477,330.77,0.38,0.36,2021-01-04,1324,N,VIIRS,n,1,288.74,1.51,D,0
32.179634,-3.789923,333.43,0.47,0.48,2021-01-06,1248,N,VIIRS,n,1,273.87,4.76,D,0
33.946125,-5.116647,297.04,0.39,0.44,2021-01-08,0230,N,VIIRS,n,1,283.11,0.59,N,0
33.551453,-7.521805,298.01,0.39,0.36,2021-01-09,0212,N,VIIRS,n,1,281.8,0.84,N,0
33.54813,-7.522507,327.61,0.39,0.36,2021-01-09,0212,N,VIIRS,n,1,282.31,0.84,N,0
34.597767,-2.347947,298.81,0.39,0.36,2021-01-10,0154,N,VIIRS,n,1,275.13,0.54,N,2
34.594456,-2.348676,297.62,0.39,0.36,2021-01-10,0154,N,VIIRS,n,1,274.81,0.67,N,2
